"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1063","Caselle Torinese","8.38","8.47","7.52","8.82","Torino","TO","Piemonte","45.166627","7.644133"
"1064","Castagneto Po","10.68","10.08","11.72","11.71","Torino","TO","Piemonte","45.162696","7.897436"
"1065","Castagnole Piemonte","8.88","10.23","9.81","10.7","Torino","TO","Piemonte","44.896475","7.565180"
"1066","Castellamonte","13.13","15.22","14.91","13.42","Torino","TO","Piemonte","45.382947","7.711908"
"1067","Castelnuovo Nigra","11.74","16.3","4.67","16.22","Torino","TO","Piemonte","45.437944","7.693822"
"1068","Castiglione Torinese","10.13","12.13","8.08","9.42","Torino","TO","Piemonte","45.117775","7.804104"
"1069","Cavagnolo","14.98","12.41","10.42","15.37","Torino","TO","Piemonte","45.152317","8.051622"
"1070","Cavour","15.06","15.11","13.4","17.65","Torino","TO","Piemonte","44.786659","7.373582"
"1071","Cercenasco","6.59","11.62","7.79","12.24","Torino","TO","Piemonte","44.860337","7.503582"
"1072","Ceres","10.4","19.82","18.99","17.33","Torino","TO","Piemonte","45.313607","7.388684"
"1073","Ceresole Reale","12.16","6.27","6.31","12.31","Torino","TO","Piemonte","45.432177","7.234307"
"1074","Cesana Torinese","8.01","12.21","9.34","12.59","Torino","TO","Piemonte","44.953029","6.793690"
"1075","Chialamberto","19.26","20.09","25.97","26.05","Torino","TO","Piemonte","45.361860","7.349308"
"1076","Chianocco","9.96","9.46","9.61","14.03","Torino","TO","Piemonte","45.145517","7.173780"
"1077","Chiaverano","13.21","7.6","9.13","14.49","Torino","TO","Piemonte","45.497383","7.900634"
"1078","Chieri","10.29","10.75","9.19","10.33","Torino","TO","Piemonte","45.008885","7.827555"
"1079","Chiesanuova","28.92","19.85","4.57","25.59","Torino","TO","Piemonte","45.417668","7.655830"
"1080","Chiomonte","22.28","23.75","17.7","16.9","Torino","TO","Piemonte","45.117784","6.983405"
"1081","Chiusa di San Michele","11.9","12.08","6.04","15.7","Torino","TO","Piemonte","45.100868","7.326448"
"1082","Chivasso","10.12","10.77","9.5","10.61","Torino","TO","Piemonte","45.190038","7.888952"
"1083","Ciconio","5.32","7.8","10.35","12.89","Torino","TO","Piemonte","45.328921","7.758960"
"1084","Cintano","11.93","31.25","27.29","27.24","Torino","TO","Piemonte","45.429097","7.687679"
"1085","Cinzano","11.36","14.73","8.6","19.97","Torino","TO","Piemonte","45.094651","7.924087"
"1086","Ciriè","10.34","12.44","12.04","13.19","Torino","TO","Piemonte","45.235832","7.601493"
"1087","Claviere","0","4.64","4.57","13.86","Torino","TO","Piemonte","44.939420","6.751603"
"1088","Coassolo Torinese","12.05","14.73","15.61","11.15","Torino","TO","Piemonte","45.298784","7.460566"
"1089","Coazze","10.11","11.88","14.49","10.93","Torino","TO","Piemonte","45.051520","7.303860"
"1090","Collegno","9.15","10.74","8.54","11","Torino","TO","Piemonte","45.078705","7.566241"
"1091","Colleretto Castelnuovo","18.05","15.31","14.81","8.92","Torino","TO","Piemonte","45.419419","7.677790"
"1092","Colleretto Giacosa","8.17","18.53","8.67","17.38","Torino","TO","Piemonte","45.431911","7.803720"
"1093","Condove","10.35","12.94","9.7","12.1","Torino","TO","Piemonte","45.113564","7.313229"
"1094","Corio","13.43","15.57","18.97","22.12","Torino","TO","Piemonte","45.311742","7.533435"
"1095","Cossano Canavese","13.65","21.83","11.93","15.81","Torino","TO","Piemonte","45.388299","7.993641"
"1096","Cuceglio","9.84","10.95","12.08","8.05","Torino","TO","Piemonte","45.358829","7.816217"
"1097","Cumiana","8.97","13.35","10.32","10.04","Torino","TO","Piemonte","44.984980","7.374220"
"1098","Cuorgnè","12.9","13.39","11.78","13.42","Torino","TO","Piemonte","45.391341","7.650233"
"1099","Druento","8.72","8.69","9.12","10.07","Torino","TO","Piemonte","45.134645","7.576543"
"1100","Exilles","11.36","11.13","29.57","30.3","Torino","TO","Piemonte","45.097316","6.928746"
"1101","Favria","11.31","11.16","10.61","8.3","Torino","TO","Piemonte","45.331072","7.691221"
"1102","Feletto","6.88","13.36","7.76","10.81","Torino","TO","Piemonte","45.305100","7.746289"
"1103","Fenestrelle","12.74","14.76","22.35","22.84","Torino","TO","Piemonte","45.036571","7.048519"
"1104","Fiano","10.38","11.16","7.05","11.16","Torino","TO","Piemonte","45.215236","7.523290"
"1105","Fiorano Canavese","9.68","13.41","11.11","17.78","Torino","TO","Piemonte","45.468647","7.829147"
"1106","Foglizzo","9.66","13.53","14.46","9.85","Torino","TO","Piemonte","45.271791","7.821671"
"1107","Forno Canavese","12.92","13.61","12.79","11.15","Torino","TO","Piemonte","45.347595","7.585806"
"1108","Frassinetto","3.69","14.68","14.39","17.89","Torino","TO","Piemonte","45.437567","7.607487"
"1109","Front","12.46","13.11","15.52","14.36","Torino","TO","Piemonte","45.280530","7.663671"
"1110","Frossasco","10.03","18.07","10.87","13.35","Torino","TO","Piemonte","44.933891","7.351110"
"1111","Garzigliana","6.91","7","7.1","9.12","Torino","TO","Piemonte","44.835947","7.374894"
"1112","Gassino Torinese","9.9","10.27","10.9","11.28","Torino","TO","Piemonte","45.130847","7.825875"
"1113","Germagnano","10.79","14.2","13.32","13.45","Torino","TO","Piemonte","45.261284","7.464641"
"1114","Giaglione","6.24","21.98","11.14","17.67","Torino","TO","Piemonte","45.141508","7.015240"
"1115","Giaveno","13.38","13.71","14.39","12.77","Torino","TO","Piemonte","45.042007","7.352595"
"1116","Givoletto","6.42","8.17","5.34","7.09","Torino","TO","Piemonte","45.152864","7.495413"
"1117","Gravere","17.35","14.5","5.78","19.06","Torino","TO","Piemonte","45.126597","7.018158"
"1118","Groscavallo","14.89","14.71","0","9.85","Torino","TO","Piemonte","45.367733","7.256951"
"1119","Grosso","12.62","11.75","6.85","9.7","Torino","TO","Piemonte","45.254943","7.556893"
"1120","Grugliasco","8.57","10.25","8.91","10.15","Torino","TO","Piemonte","45.066063","7.578910"
"1121","Ingria","20.62","0","80.81","21.51","Torino","TO","Piemonte","45.466776","7.571364"
"1122","Inverso Pinasca","12.15","8.18","19.3","11.23","Torino","TO","Piemonte","44.941196","7.217825"
"1123","Isolabella","7.53","0","2.53","2.59","Torino","TO","Piemonte","44.906657","7.910091"
"1124","Issiglio","22.14","22.76","10.13","12.56","Torino","TO","Piemonte","45.446372","7.750858"
"1125","Ivrea","12.78","12.69","12.32","14.13","Torino","TO","Piemonte","45.467276","7.880059"
"1126","La Cassa","4.98","11.11","10.03","6.62","Torino","TO","Piemonte","45.178765","7.520940"
"1127","La Loggia","6.63","8.76","7.9","9.72","Torino","TO","Piemonte","44.956775","7.667333"
"1128","Lanzo Torinese","14.55","14.13","13.97","12.09","Torino","TO","Piemonte","45.270102","7.477465"
"1129","Lauriano","19.77","16.32","10.88","17.83","Torino","TO","Piemonte","45.155381","7.994194"
"1130","Leini","7.23","8.4","7.49","9.44","Torino","TO","Piemonte","45.183525","7.713731"
"1131","Lemie","22.16","16.85","16.04","26.04","Torino","TO","Piemonte","45.228485","7.293337"
"1132","Lessolo","11.65","11.27","8.81","15.3","Torino","TO","Piemonte","45.479265","7.816102"
"1133","Levone","24.92","4.57","11.14","17.64","Torino","TO","Piemonte","45.318649","7.606999"
"1134","Locana","15.45","22.4","20.21","21.23","Torino","TO","Piemonte","45.416403","7.465418"
"1135","Lombardore","12.01","10.87","17.24","9.82","Torino","TO","Piemonte","45.235050","7.741340"
"1136","Lombriasco","17.09","14.29","14.35","13.49","Torino","TO","Piemonte","44.841128","7.635942"
"1137","Loranzè","11.91","6.78","8.42","15.18","Torino","TO","Piemonte","45.441286","7.812386"
"1138","Lugnacco","10.48","8.1","11.28","8.55","Torino","TO","Piemonte","45.444691","7.783590"
"1139","Luserna San Giovanni","14.06","18.53","16.58","16.69","Torino","TO","Piemonte","44.815115","7.242351"
"1140","Lusernetta","17.21","21.36","13.93","22.27","Torino","TO","Piemonte","44.802651","7.247001"
"1141","Lusigliè","10.45","19.54","12.65","19.89","Torino","TO","Piemonte","45.318321","7.765410"
"1142","Macello","8.94","9.78","18.11","10.1","Torino","TO","Piemonte","44.850944","7.397163"
"1143","Maglione","20.07","20.2","32.37","11.78","Torino","TO","Piemonte","45.348175","8.010549"
"1144","Marentino","10.79","8.04","13.33","12.7","Torino","TO","Piemonte","45.054693","7.876581"
"1145","Massello","18.35","0","19.23","19.05","Torino","TO","Piemonte","44.957715","7.061491"
"1146","Mathi","13.79","13.81","10.24","14.12","Torino","TO","Piemonte","45.251784","7.545832"
"1147","Mattie","11.64","18.95","13.18","10.44","Torino","TO","Piemonte","45.119102","7.115105"
